BUDDY BOY,4012 West 38th Avenue,Denver,CO,80212,2016-11-14 01:00:00,2016-11-14 01:00:00
1:11,17034 Highway 17,Moffat,CO,81143,2016-11-14 01:00:01,2016-11-14 01:00:01
LODO WELLNESS CENTER,"1617 Wazee Street, Unit B",Denver,CO,80202,2016-11-14 01:00:02,2016-11-14 01:00:02
3D CANNABIS CENTER,248 East US Highway 50,Salida,CO,81201,2016-11-14 01:00:03,2016-11-14 01:00:03
MINDFUL,6403 North Jackson Gap Street,Aurora,CO,80019,2016-11-14 01:00:04,2016-11-14 01:00:04
MINDFUL,1401 Peoria Street,Aurora,CO,80011,2016-11-14 01:00:05,2016-11-14 01:00:05
420 GREEN GENIE INC,106 East 4th Avenue,Antonito,CO,81120,2016-11-14 01:00:06,2016-11-14 01:00:06
THE CLINIC ON COLFAX,4625 East Colfax Avenue,Denver,CO,80220,2016-11-14 01:00:07,2016-11-14 01:00:07
PURE MEDICAL DISPENSARY,505 West 40th Avenue,Denver,CO,80216,2016-11-14 01:00:08,2016-11-14 01:00:08
THE SANCTUARY,5110 Race Street,Denver,CO,80216,2016-11-14 01:00:09,2016-11-14 01:00:09
1859,231 Gregory Street,Black Hawk,CO,80422,2016-11-14 01:00:10,2016-11-14 01:00:10
A CUT OFF THE TOP MEDICAL MARIJUANA LLC,2059 West 9th Avenue,Denver,CO,80204,2016-11-14 01:00:11,2016-11-14 01:00:11
HERBAN UNDERGROUND,"70 Broadway, Suite 50",Denver,CO,80203,2016-11-14 01:00:12,2016-11-14 01:00:12
HIGH VALLEY RETAIL CANNABIS,60250 County Road T,Moffat,CO,81143,2016-11-14 01:00:13,2016-11-14 01:00:13
HIGH VALLEY ANTONITO RETAIL CANNABIS,315 Main Street,Antonito,CO,81120,2016-11-14 01:00:14,2016-11-14 01:00:14
ACES PLACE LLC,"1101 Academy Court, Unit 4",Fort Collins,CO,80524,2016-11-14 01:00:15,2016-11-14 01:00:15
ACME DISPENSARY INC,"309 Belleview Avenue, Unit 1A",Crested Butte,CO,81224,2016-11-14 01:00:16,2016-11-14 01:00:16
ACME HEALING CENTER OF CARBONDALE LLC,958 Highway 133,Carbondale,CO,81623,2016-11-14 01:00:17,2016-11-14 01:00:17
ACME HEALING CENTER OF GUNNISON LLC,620 South 9th Street,Gunnison,CO,81230,2016-11-14 01:00:18,2016-11-14 01:00:18
ACME HEALING CENTER OF RIDGWAY LLC,157 Highway 550 Suite B,Ridgway,CO,81432,2016-11-14 01:00:19,2016-11-14 01:00:19
ACME HEALING CENTER OF SILVERTON LLC,1330 Greene Street,Silverton,CO,81433,2016-11-14 01:00:20,2016-11-14 01:00:20
ADVANCED MEDICAL ALTERNATIVES LLC,1269 Elati Street,Denver,CO,80204,2016-11-14 01:00:21,2016-11-14 01:00:21
STRAWBERRY FIELDS,116 Santa Fe Trail Drive,Trinidad,CO,81082,2016-11-14 01:00:22,2016-11-14 01:00:22
NATURAL SELECTIONS,920 West 104th Avenue,Northglenn,CO,80234,2016-11-14 01:00:23,2016-11-14 01:00:23
SWEET LEAF,"15200 East 6th Avenue, Unit 1",Aurora,CO,80011,2016-11-14 01:00:24,2016-11-14 01:00:24
THE DAB BY NEXT HARVEST,2748 West Alameda Avenue,Denver,CO,80219,2016-11-14 01:00:25,2016-11-14 01:00:25
ALPENGLOW BOTANICALS LLC,"1805 Airport Road, Units B1B & B1C",Breckenridge,CO,80424,2016-11-14 01:00:26,2016-11-14 01:00:26
ALPENGLOW BOTANICALS,765 W Anemone Trail  Unit C,Dillon,CO,80435,2016-11-14 01:00:27,2016-11-14 01:00:27
FROSTED LEAF,445 Federal Boulevard,Denver,CO,80204,2016-11-14 01:00:28,2016-11-14 01:00:28
ALPINE WELLNESS,"300 West Colorado Avenue, Unit 2C, Suites B-H",Telluride,CO,81435,2016-11-14 01:00:29,2016-11-14 01:00:29
ROCKY MOUNTAIN ORGANICS,5312 Hwy 119 Unit B,Black Hawk,CO,80422,2016-11-14 01:00:30,2016-11-14 01:00:30
ROCKY MOUNTAIN ORGANICS,161 Gregory Street,Central City,CO,80427,2016-11-14 01:00:31,2016-11-14 01:00:31
ALTERNATIVE MEDICINE ON CAPITOL HILL LLC,1301 Marion Street,Denver,CO,80218,2016-11-14 01:00:32,2016-11-14 01:00:32
NATIVE ROOTS APOTHECARY,"910 16th Street, Suite 805",Denver,CO,80202,2016-11-14 01:00:33,2016-11-14 01:00:33
NATURE'S HERBS AND WELLNESS DTC,"3435 South Yosemite Street, Suite 200",Denver,CO,80231,2016-11-14 01:00:34,2016-11-14 01:00:34
DENVER CLONE STORE,"755 South Federal Boulevard, Unit 5",Denver,CO,80219,2016-11-14 01:00:35,2016-11-14 01:00:35
